CHROMOSOME	LENGTH	ALIGNED_READS	SAMPLE_NAME
chr15	102531392	0	20-107-01395-GER2106910
chr16	90354753	0	20-107-01395-GER2106910
chr17	81195210	0	20-107-01395-GER2106910
chr18	78077248	0	20-107-01395-GER2106910
chr19	59128983	0	20-107-01395-GER2106910
chr20	63025520	0	20-107-01395-GER2106910
chr21	48129895	0	20-107-01395-GER2106910
chr22	51304566	0	20-107-01395-GER2106910
chrX	155270560	0	20-107-01395-GER2106910
chrY	59373566	0	20-107-01395-GER2106910
chrM	16571	0	20-107-01395-GER2106910
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	20-107-01395-GER2106910
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	20-107-01395-GER2106910
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	20-107-01395-GER2106910
J04353.1	7912	89	20-107-01395-GER2106910
M12732.1	7909	81	20-107-01395-GER2106910
X74477.1	7879	120	20-107-01395-GER2106910
NC001526.4	7906	28225	20-107-01395-GER2106910
NC001357.1	7857	1605	20-107-01395-GER2106910
NoCoordinateCount= 0	NA	NA	20-107-01395-GER2106910
chr1	249250621	0	20-358-02456-GER2110230
chr2	243199373	0	20-358-02456-GER2110230
chr3	198022430	0	20-358-02456-GER2110230
chr4	191154276	0	20-358-02456-GER2110230
chr5	180915260	0	20-358-02456-GER2110230
chr6	171115067	0	20-358-02456-GER2110230
chr7	159138663	0	20-358-02456-GER2110230
chr8	146364022	0	20-358-02456-GER2110230
chr9	141213431	0	20-358-02456-GER2110230
chr10	135534747	0	20-358-02456-GER2110230
chr11	135006516	0	20-358-02456-GER2110230
chr12	133851895	0	20-358-02456-GER2110230
chr13	115169878	0	20-358-02456-GER2110230
chr14	107349540	0	20-358-02456-GER2110230
chr15	102531392	0	20-358-02456-GER2110230
chr16	90354753	0	20-358-02456-GER2110230
chr17	81195210	0	20-358-02456-GER2110230
chr18	78077248	0	20-358-02456-GER2110230
chr19	59128983	0	20-358-02456-GER2110230
chr20	63025520	0	20-358-02456-GER2110230
chr21	48129895	0	20-358-02456-GER2110230
chr22	51304566	0	20-358-02456-GER2110230
chrX	155270560	0	20-358-02456-GER2110230
chrY	59373566	0	20-358-02456-GER2110230
chrM	16571	0	20-358-02456-GER2110230
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	20-358-02456-GER2110230
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	20-358-02456-GER2110230
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	20-358-02456-GER2110230
J04353.1	7912	155	20-358-02456-GER2110230
M12732.1	7909	148	20-358-02456-GER2110230
X74477.1	7879	46697	20-358-02456-GER2110230
NC001526.4	7906	2349	20-358-02456-GER2110230
NC001357.1	7857	6228	20-358-02456-GER2110230
NoCoordinateCount= 0	NA	NA	20-358-02456-GER2110230
chr1	249250621	0	19-340-01676-GER2110353
chr2	243199373	0	19-340-01676-GER2110353
chr3	198022430	0	19-340-01676-GER2110353
chr4	191154276	0	19-340-01676-GER2110353
chr5	180915260	0	19-340-01676-GER2110353
chr6	171115067	0	19-340-01676-GER2110353
chr7	159138663	0	19-340-01676-GER2110353
chr8	146364022	0	19-340-01676-GER2110353
chr9	141213431	0	19-340-01676-GER2110353
chr10	135534747	0	19-340-01676-GER2110353
chr11	135006516	0	19-340-01676-GER2110353
chr12	133851895	0	19-340-01676-GER2110353
chr13	115169878	0	19-340-01676-GER2110353
chr14	107349540	0	19-340-01676-GER2110353
chr15	102531392	0	19-340-01676-GER2110353
chr16	90354753	0	19-340-01676-GER2110353
chr17	81195210	0	19-340-01676-GER2110353
chr18	78077248	0	19-340-01676-GER2110353
chr19	59128983	0	19-340-01676-GER2110353
chr20	63025520	0	19-340-01676-GER2110353
chr21	48129895	0	19-340-01676-GER2110353
chr22	51304566	0	19-340-01676-GER2110353
chrX	155270560	0	19-340-01676-GER2110353
chrY	59373566	0	19-340-01676-GER2110353
chrM	16571	0	19-340-01676-GER2110353
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	19-340-01676-GER2110353
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	19-340-01676-GER2110353
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	19-340-01676-GER2110353
J04353.1	7912	120	19-340-01676-GER2110353
M12732.1	7909	121	19-340-01676-GER2110353
X74477.1	7879	24	19-340-01676-GER2110353
NC001526.4	7906	1253	19-340-01676-GER2110353
NC001357.1	7857	1763	19-340-01676-GER2110353
NoCoordinateCount= 0	NA	NA	19-340-01676-GER2110353
chr1	249250621	0	18-289-01058-GER2106729
chr2	243199373	0	18-289-01058-GER2106729
chr3	198022430	0	18-289-01058-GER2106729
chr4	191154276	0	18-289-01058-GER2106729
chr5	180915260	0	18-289-01058-GER2106729
chr6	171115067	0	18-289-01058-GER2106729
chr7	159138663	0	18-289-01058-GER2106729
chr8	146364022	0	18-289-01058-GER2106729
chr9	141213431	0	18-289-01058-GER2106729
chr10	135534747	0	18-289-01058-GER2106729
chr11	135006516	0	18-289-01058-GER2106729
chr12	133851895	0	18-289-01058-GER2106729
chr13	115169878	0	18-289-01058-GER2106729
chr14	107349540	0	18-289-01058-GER2106729
chr15	102531392	0	18-289-01058-GER2106729
chr16	90354753	0	18-289-01058-GER2106729
chr17	81195210	0	18-289-01058-GER2106729
chr18	78077248	0	18-289-01058-GER2106729
chr19	59128983	0	18-289-01058-GER2106729
chr20	63025520	0	18-289-01058-GER2106729
chr21	48129895	0	18-289-01058-GER2106729
chr22	51304566	0	18-289-01058-GER2106729
chrX	155270560	0	18-289-01058-GER2106729
chrY	59373566	0	18-289-01058-GER2106729
chrM	16571	0	18-289-01058-GER2106729
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	18-289-01058-GER2106729
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	18-289-01058-GER2106729
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	18-289-01058-GER2106729
J04353.1	7912	828	18-289-01058-GER2106729
M12732.1	7909	123	18-289-01058-GER2106729
X74477.1	7879	563	18-289-01058-GER2106729
NC001526.4	7906	277133	18-289-01058-GER2106729
NC001357.1	7857	5361	18-289-01058-GER2106729
NoCoordinateCount= 0	NA	NA	18-289-01058-GER2106729
chr1	249250621	0	18-330-01741-GER2106698
chr2	243199373	0	18-330-01741-GER2106698
chr3	198022430	0	18-330-01741-GER2106698
chr4	191154276	0	18-330-01741-GER2106698
chr5	180915260	0	18-330-01741-GER2106698
chr6	171115067	0	18-330-01741-GER2106698
chr7	159138663	0	18-330-01741-GER2106698
chr8	146364022	0	18-330-01741-GER2106698
chr9	141213431	0	18-330-01741-GER2106698
chr10	135534747	0	18-330-01741-GER2106698
chr11	135006516	0	18-330-01741-GER2106698
chr12	133851895	0	18-330-01741-GER2106698
chr13	115169878	0	18-330-01741-GER2106698
chr14	107349540	0	18-330-01741-GER2106698
chr15	102531392	0	18-330-01741-GER2106698
chr16	90354753	0	18-330-01741-GER2106698
chr17	81195210	0	18-330-01741-GER2106698
chr18	78077248	0	18-330-01741-GER2106698
chr19	59128983	0	18-330-01741-GER2106698
chr20	63025520	0	18-330-01741-GER2106698
chr21	48129895	0	18-330-01741-GER2106698
chr22	51304566	0	18-330-01741-GER2106698
chrX	155270560	0	18-330-01741-GER2106698
chrY	59373566	0	18-330-01741-GER2106698
chrM	16571	0	18-330-01741-GER2106698
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	18-330-01741-GER2106698
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	18-330-01741-GER2106698
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	18-330-01741-GER2106698
J04353.1	7912	124	18-330-01741-GER2106698
M12732.1	7909	108	18-330-01741-GER2106698
X74477.1	7879	94	18-330-01741-GER2106698
NC001526.4	7906	53430	18-330-01741-GER2106698
NC001357.1	7857	5809	18-330-01741-GER2106698
NoCoordinateCount= 0	NA	NA	18-330-01741-GER2106698
chr1	249250621	0	21-110-01022-GER2110430
chr2	243199373	0	21-110-01022-GER2110430
chr3	198022430	0	21-110-01022-GER2110430
chr4	191154276	0	21-110-01022-GER2110430
chr5	180915260	0	21-110-01022-GER2110430
chr6	171115067	0	21-110-01022-GER2110430
chr7	159138663	0	21-110-01022-GER2110430
chr8	146364022	0	21-110-01022-GER2110430
chr9	141213431	0	21-110-01022-GER2110430
chr10	135534747	0	21-110-01022-GER2110430
chr11	135006516	0	21-110-01022-GER2110430
chr12	133851895	0	21-110-01022-GER2110430
chr13	115169878	0	21-110-01022-GER2110430
chr14	107349540	0	21-110-01022-GER2110430
chr15	102531392	0	21-110-01022-GER2110430
chr16	90354753	0	21-110-01022-GER2110430
chr17	81195210	0	21-110-01022-GER2110430
chr18	78077248	0	21-110-01022-GER2110430
chr19	59128983	0	21-110-01022-GER2110430
chr20	63025520	0	21-110-01022-GER2110430
chr21	48129895	0	21-110-01022-GER2110430
chr22	51304566	0	21-110-01022-GER2110430
chrX	155270560	0	21-110-01022-GER2110430
chrY	59373566	0	21-110-01022-GER2110430
chrM	16571	0	21-110-01022-GER2110430
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	21-110-01022-GER2110430
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	21-110-01022-GER2110430
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	21-110-01022-GER2110430
J04353.1	7912	82	21-110-01022-GER2110430
M12732.1	7909	144	21-110-01022-GER2110430
X74477.1	7879	20	21-110-01022-GER2110430
NC001526.4	7906	1682	21-110-01022-GER2110430
NC001357.1	7857	1798	21-110-01022-GER2110430
NoCoordinateCount= 0	NA	NA	21-110-01022-GER2110430
chr1	249250621	0	20-196-03010-GER2107005
chr2	243199373	0	20-196-03010-GER2107005
chr3	198022430	0	20-196-03010-GER2107005
chr4	191154276	0	20-196-03010-GER2107005
chr5	180915260	0	20-196-03010-GER2107005
chr6	171115067	0	20-196-03010-GER2107005
chr7	159138663	0	20-196-03010-GER2107005
chr8	146364022	0	20-196-03010-GER2107005
chr9	141213431	0	20-196-03010-GER2107005
chr10	135534747	0	20-196-03010-GER2107005
chr11	135006516	0	20-196-03010-GER2107005
chr12	133851895	0	20-196-03010-GER2107005
chr13	115169878	0	20-196-03010-GER2107005
chr14	107349540	0	20-196-03010-GER2107005
chr15	102531392	0	20-196-03010-GER2107005
chr16	90354753	0	20-196-03010-GER2107005
chr17	81195210	0	20-196-03010-GER2107005
chr18	78077248	0	20-196-03010-GER2107005
chr19	59128983	0	20-196-03010-GER2107005
chr20	63025520	0	20-196-03010-GER2107005
chr21	48129895	0	20-196-03010-GER2107005
chr22	51304566	0	20-196-03010-GER2107005
chrX	155270560	0	20-196-03010-GER2107005
chrY	59373566	0	20-196-03010-GER2107005
chrM	16571	0	20-196-03010-GER2107005
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	20-196-03010-GER2107005
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	20-196-03010-GER2107005
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	20-196-03010-GER2107005
J04353.1	7912	141	20-196-03010-GER2107005
M12732.1	7909	109	20-196-03010-GER2107005
X74477.1	7879	1762	20-196-03010-GER2107005
NC001526.4	7906	682149	20-196-03010-GER2107005
NC001357.1	7857	4206	20-196-03010-GER2107005
NoCoordinateCount= 0	NA	NA	20-196-03010-GER2107005
chr1	249250621	0	19-350-01205-GER2110213
chr2	243199373	0	19-350-01205-GER2110213
chr3	198022430	0	19-350-01205-GER2110213
chr4	191154276	0	19-350-01205-GER2110213
chr5	180915260	0	19-350-01205-GER2110213
chr6	171115067	0	19-350-01205-GER2110213
chr7	159138663	0	19-350-01205-GER2110213
chr8	146364022	0	19-350-01205-GER2110213
chr9	141213431	0	19-350-01205-GER2110213
chr10	135534747	0	19-350-01205-GER2110213
chr11	135006516	0	19-350-01205-GER2110213
chr12	133851895	0	19-350-01205-GER2110213
chr13	115169878	0	19-350-01205-GER2110213
chr14	107349540	0	19-350-01205-GER2110213
chr15	102531392	0	19-350-01205-GER2110213
chr16	90354753	0	19-350-01205-GER2110213
chr17	81195210	0	19-350-01205-GER2110213
chr18	78077248	0	19-350-01205-GER2110213
chr19	59128983	0	19-350-01205-GER2110213
chr20	63025520	0	19-350-01205-GER2110213
chr21	48129895	0	19-350-01205-GER2110213
chr22	51304566	0	19-350-01205-GER2110213
chrX	155270560	0	19-350-01205-GER2110213
chrY	59373566	0	19-350-01205-GER2110213
chrM	16571	0	19-350-01205-GER2110213
hg19_chr6_KRAS_ex2_pseudo_edited	132	0	19-350-01205-GER2110213
hg19_chr6_KRAS_ex2_pseudo_edited_2	131	0	19-350-01205-GER2110213
hg19_chr6_KRAS_ex2_pseudo_edited_3	132	0	19-350-01205-GER2110213
J04353.1	7912	125	19-350-01205-GER2110213
M12732.1	7909	149	19-350-01205-GER2110213
X74477.1	7879	45	19-350-01205-GER2110213
NC001526.4	7906	3362	19-350-01205-GER2110213
NC001357.1	7857	5202	19-350-01205-GER2110213
NoCoordinateCount= 0	NA	NA	19-350-01205-GER2110213
chr1	249250621	0	20-170-03172-GER2110286
chr2	243199373	0	20-170-03172-GER2110286
chr3	198022430	0	20-170-03172-GER2110286
chr4	191154276	0	20-170-03172-GER2110286
chr5	180915260	0	20-170-03172-GER2110286
chr6	171115067	0	20-170-03172-GER2110286
chr7	159138663	0	20-170-03172-GER2110286
