chrom	start	end	length	name	%gc	mean_coverage	normalized_coverage	min_normalized_coverage	max_normalized_coverage	min_coverage	max_coverage	pct_0x	read_count	SAMPLE_NAME
NC001357.1	469	498	30	-	0.366667	0	0	0	0	0	0	1	0	19-330-03007-GER2107007
NC001357.1	502	525	24	-	0.5	151.875	3.056593	0.040251	3.340869	2	166	0	171	19-330-03007-GER2107007
NC001357.1	550	573	24	-	0.541667	39.875	0.802513	0.100629	0.84528	5	42	0	42	19-330-03007-GER2107007
NC001357.1	585	611	27	-	0.407407	222.814815	4.484307	0.100629	4.709417	5	234	0	237	19-330-03007-GER2107007
NC001357.1	644	673	30	-	0.4	28.766667	0.57895	0.161006	0.603771	8	30	0	30	19-330-03007-GER2107007
NC001357.1	725	748	24	-	0.5	0	0	0	0	0	0	1	0	19-330-03007-GER2107007
NC001357.1	814	839	26	-	0.5	253.423077	5.100321	1.086789	5.393692	54	268	0	269	19-330-03007-GER2107007
NC001357.1	885	904	20	-	0.65	9.35	0.188175	0.020126	0.201257	1	10	0	10	19-330-03007-GER2107007
NC001357.1	1075	1100	26	-	0.461538	424.576923	8.544914	0.040251	8.996194	2	447	0	455	19-330-03007-GER2107007
NC001357.1	1134	1159	26	-	0.461538	6.576923	0.132365	0.020126	0.14088	1	7	0	7	19-330-03007-GER2107007
NC001357.1	6142	6163	22	-	0.590909	0	0	0	0	0	0	1	0	19-330-03007-GER2107007
NC001357.1	6586	6623	38	-	0.342105	37.526316	0.755244	0.040251	0.805029	2	40	0	40	19-330-03007-GER2107007
NC001357.1	6654	6675	22	-	0.590909	3.954545	0.079588	0.060377	0.080503	3	4	0	4	19-330-03007-GER2107007
NC001357.1	7440	7464	25	-	0.48	0.8	0.016101	0	0.020126	0	1	0.2	1	19-330-03007-GER2107007
NC001357.1	7499	7525	27	-	0.481481	6.592593	0.132681	0	0.14088	0	7	0.037037	7	19-330-03007-GER2107007
J04353.1	6530	6563	34	-	0.382353	15.529412	0.482853	0	0.497484	0	16	0.029412	16	22-024-02646-GER2213114
J04353.1	6929	6952	24	-	0.5	4.625	0.143804	0.093278	0.155464	3	5	0	6	22-024-02646-GER2213114
M12732.1	6570	6602	33	-	0.393939	5.818182	0.180903	0	0.186557	0	6	0.030303	6	22-024-02646-GER2213114
M12732.1	6965	6991	27	-	0.444444	4.555556	0.141645	0.031093	0.155464	1	5	0	5	22-024-02646-GER2213114
X74477.1	6567	6603	37	-	0.324324	0.972973	0.030252	0	0.031093	0	1	0.027027	1	22-024-02646-GER2213114
X74477.1	6969	6996	28	-	0.392857	1.964286	0.061075	0.031093	0.062186	1	2	0	2	22-024-02646-GER2213114
NC001526.4	252	286	35	-	0.371429	4.514286	0.140362	0	0.155464	0	5	0.028571	5	22-024-02646-GER2213114
NC001526.4	2525	2544	20	-	0.6	19.9	0.618746	0	0.652948	0	21	0.05	21	22-024-02646-GER2213114
NC001526.4	2707	2733	27	-	0.481481	1.962963	0.061034	0.031093	0.062186	1	2	0	2	22-024-02646-GER2213114
NC001526.4	3006	3027	22	-	0.5	0	0	0	0	0	0	1	0	22-024-02646-GER2213114
NC001526.4	3054	3079	26	-	0.5	18.846154	0.585979	0.466392	0.590763	15	19	0	19	22-024-02646-GER2213114
NC001526.4	5742	5783	42	-	0.333333	1.47619	0.045899	0	0.062186	0	2	0.119048	2	22-024-02646-GER2213114
NC001526.4	5850	5906	57	-	0.350877	103.175439	3.208011	0.031093	4.290804	1	138	0	138	22-024-02646-GER2213114
NC001526.4	7178	7203	26	-	0.5	45.038462	1.400371	0	1.461361	0	47	0.038462	48	22-024-02646-GER2213114
NC001526.4	7247	7275	29	-	0.482759	16.413793	0.51035	0.310928	0.528577	10	17	0	17	22-024-02646-GER2213114
NC001526.4	7557	7586	30	-	0.4	1.8	0.055967	0	0.062186	0	2	0.033333	2	22-024-02646-GER2213114
NC001526.4	7614	7651	38	-	0.289474	31.236842	0.97124	0.217649	1.026062	7	33	0	33	22-024-02646-GER2213114
NC001526.4	7667	7700	34	-	0.382353	181.617647	5.646998	0.031093	5.938721	1	191	0	191	22-024-02646-GER2213114
NC001526.4	7738	7761	24	-	0.5	0	0	0	0	0	0	1	0	22-024-02646-GER2213114
NC001526.4	7778	7801	24	-	0.541667	0.958333	0.029797	0	0.031093	0	1	0.041667	1	22-024-02646-GER2213114
NC001526.4	7838	7862	25	-	0.48	4.8	0.149245	0.031093	0.155464	1	5	0	5	22-024-02646-GER2213114
NC001357.1	161	190	30	-	0.433333	33.066667	1.028135	0	1.11934	0	36	0.033333	37	22-024-02646-GER2213114
NC001357.1	469	498	30	-	0.366667	0	0	0	0	0	0	1	0	22-024-02646-GER2213114
NC001357.1	502	525	24	-	0.5	68.708333	2.136333	0	2.363051	0	76	0.041667	76	22-024-02646-GER2213114
NC001357.1	550	573	24	-	0.541667	11.541667	0.358863	0.124371	0.373113	4	12	0	12	22-024-02646-GER2213114
NC001357.1	585	611	27	-	0.407407	101.555556	3.157645	0.031093	3.295835	1	106	0	108	22-024-02646-GER2213114
NC001357.1	644	673	30	-	0.4	17.6	0.547233	0.310928	0.55967	10	18	0	18	22-024-02646-GER2213114
NC001357.1	725	748	24	-	0.5	0	0	0	0	0	0	1	0	22-024-02646-GER2213114
NC001357.1	814	839	26	-	0.5	105.307692	3.274309	0.404206	3.420206	13	110	0	110	22-024-02646-GER2213114
NC001357.1	885	904	20	-	0.65	2.85	0.088614	0	0.093278	0	3	0.05	3	22-024-02646-GER2213114
NC001357.1	1075	1100	26	-	0.461538	241.461538	7.507711	0.062186	7.897566	2	254	0	261	22-024-02646-GER2213114
NC001357.1	1134	1159	26	-	0.461538	4.923077	0.153072	0.093278	0.155464	3	5	0	5	22-024-02646-GER2213114
NC001357.1	6142	6163	22	-	0.590909	0	0	0	0	0	0	1	0	22-024-02646-GER2213114
NC001357.1	6586	6623	38	-	0.342105	32.289474	1.00397	0.093278	1.088247	3	35	0	35	22-024-02646-GER2213114
NC001357.1	6654	6675	22	-	0.590909	3.818182	0.118718	0	0.124371	0	4	0.045455	4	22-024-02646-GER2213114
NC001357.1	7440	7464	25	-	0.48	1.92	0.059698	0	0.062186	0	2	0.04	2	22-024-02646-GER2213114
NC001357.1	7499	7525	27	-	0.481481	5.444444	0.169283	0.062186	0.186557	2	6	0	6	22-024-02646-GER2213114
J04353.1	6530	6563	34	-	0.382353	19.323529	0.294122	0	0.304419	0	20	0.029412	20	20-346-03473-GER2107078
J04353.1	6929	6952	24	-	0.5	5	0.076105	0.076105	0.076105	5	5	0	5	20-346-03473-GER2107078
M12732.1	6570	6602	33	-	0.393939	15.454545	0.235233	0	0.243535	0	16	0.030303	16	20-346-03473-GER2107078
M12732.1	6965	6991	27	-	0.444444	13.481481	0.205201	0.030442	0.228314	2	15	0	15	20-346-03473-GER2107078
X74477.1	6567	6603	37	-	0.324324	1.918919	0.029208	0	0.030442	0	2	0.027027	2	20-346-03473-GER2107078
X74477.1	6969	6996	28	-	0.392857	6.428571	0.097849	0.015221	0.106547	1	7	0	7	20-346-03473-GER2107078
NC001526.4	252	286	35	-	0.371429	16.028571	0.24397	0	0.258756	0	17	0.028571	18	20-346-03473-GER2107078
NC001526.4	2525	2544	20	-	0.6	47.9	0.729083	0.030442	0.776268	2	51	0	51	20-346-03473-GER2107078
NC001526.4	2707	2733	27	-	0.481481	20.296296	0.308929	0.197872	0.31964	13	21	0	21	20-346-03473-GER2107078
NC001526.4	3006	3027	22	-	0.5	1.909091	0.029058	0	0.030442	0	2	0.045455	2	20-346-03473-GER2107078
NC001526.4	3054	3079	26	-	0.5	60.730769	0.924379	0.532733	0.943698	35	62	0	62	20-346-03473-GER2107078
NC001526.4	5742	5783	42	-	0.333333	4.428571	0.067407	0	0.091326	0	6	0.238095	6	20-346-03473-GER2107078
NC001526.4	5850	5906	57	-	0.350877	217.105263	3.304546	0.030442	4.353189	2	286	0	287	20-346-03473-GER2107078
NC001526.4	7178	7203	26	-	0.5	149.423077	2.27436	0.015221	2.374467	1	156	0	158	20-346-03473-GER2107078
NC001526.4	7247	7275	29	-	0.482759	24.689655	0.3758	0.16743	0.395744	11	26	0	26	20-346-03473-GER2107078
NC001526.4	7557	7586	30	-	0.4	5.466667	0.083208	0	0.091326	0	6	0.033333	7	20-346-03473-GER2107078
NC001526.4	7614	7651	38	-	0.289474	40.552632	0.617249	0.106547	0.6545	7	43	0	43	20-346-03473-GER2107078
NC001526.4	7667	7700	34	-	0.382353	323.764706	4.928003	0.030442	5.190341	2	341	0	342	20-346-03473-GER2107078
NC001526.4	7738	7761	24	-	0.5	1.208333	0.018392	0.015221	0.030442	1	2	0	2	20-346-03473-GER2107078
NC001526.4	7778	7801	24	-	0.541667	0	0	0	0	0	0	1	0	20-346-03473-GER2107078
NC001526.4	7838	7862	25	-	0.48	7.72	0.117506	0.015221	0.121768	1	8	0	8	20-346-03473-GER2107078
NC001357.1	161	190	30	-	0.433333	56.4	0.858461	0.015221	0.913256	1	60	0	61	20-346-03473-GER2107078
NC001357.1	469	498	30	-	0.366667	0.966667	0.014714	0	0.015221	0	1	0.033333	1	20-346-03473-GER2107078
NC001357.1	502	525	24	-	0.5	155	2.359246	0	2.541897	0	167	0.041667	170	20-346-03473-GER2107078
NC001357.1	550	573	24	-	0.541667	32.25	0.490875	0.091326	0.517512	6	34	0	34	20-346-03473-GER2107078
NC001357.1	585	611	27	-	0.407407	255.148148	3.883595	0.076105	4.063991	5	267	0	270	20-346-03473-GER2107078
NC001357.1	644	673	30	-	0.4	17.3	0.263322	0.045663	0.273977	3	18	0	18	20-346-03473-GER2107078
NC001357.1	725	748	24	-	0.5	4.458333	0.06786	0.015221	0.076105	1	5	0	5	20-346-03473-GER2107078
NC001357.1	814	839	26	-	0.5	248.230769	3.778306	0.547954	3.972665	36	261	0	262	20-346-03473-GER2107078
NC001357.1	885	904	20	-	0.65	17.1	0.260278	0	0.273977	0	18	0.05	18	20-346-03473-GER2107078
NC001357.1	1075	1100	26	-	0.461538	456.346154	6.946017	0.106547	7.306051	7	480	0	492	20-346-03473-GER2107078
NC001357.1	1134	1159	26	-	0.461538	2.653846	0.040394	0	0.045663	0	3	0.038462	3	20-346-03473-GER2107078
NC001357.1	6142	6163	22	-	0.590909	0	0	0	0	0	0	1	0	20-346-03473-GER2107078
NC001357.1	6586	6623	38	-	0.342105	33.815789	0.514708	0.030442	0.563175	2	37	0	37	20-346-03473-GER2107078
NC001357.1	6654	6675	22	-	0.590909	3.818182	0.058116	0	0.060884	0	4	0.045455	4	20-346-03473-GER2107078
NC001357.1	7440	7464	25	-	0.48	2.88	0.043836	0	0.045663	0	3	0.04	3	20-346-03473-GER2107078
NC001357.1	7499	7525	27	-	0.481481	9.259259	0.140935	0.060884	0.152209	4	10	0	10	20-346-03473-GER2107078
J04353.1	6530	6563	34	-	0.382353	14.323529	0.323391	0	0.338664	0	15	0.029412	15	18-323-04175-GER2213046
J04353.1	6929	6952	24	-	0.5	3.458333	0.078081	0.045155	0.090311	2	4	0	4	18-323-04175-GER2213046
M12732.1	6570	6602	33	-	0.393939	24.090909	0.543916	0.022578	0.564441	1	25	0	26	18-323-04175-GER2213046
M12732.1	6965	6991	27	-	0.444444	6.407407	0.144664	0.067733	0.158043	3	7	0	8	18-323-04175-GER2213046
X74477.1	6567	6603	37	-	0.324324	0.081081	0.001831	0	0.022578	0	1	0.918919	1	18-323-04175-GER2213046
X74477.1	6969	6996	28	-	0.392857	2.571429	0.058057	0.022578	0.067733	1	3	0	3	18-323-04175-GER2213046
NC001526.4	252	286	35	-	0.371429	15.028571	0.33931	0	0.361242	0	16	0.028571	16	18-323-04175-GER2213046
NC001526.4	2525	2544	20	-	0.6	31.3	0.70668	0	0.745062	0	33	0.05	33	18-323-04175-GER2213046
NC001526.4	2707	2733	27	-	0.481481	5.925926	0.133793	0.090311	0.135466	4	6	0	6	18-323-04175-GER2213046
NC001526.4	3006	3027	22	-	0.5	0	0	0	0	0	0	1	0	18-323-04175-GER2213046
NC001526.4	3054	3079	26	-	0.5	27.153846	0.61307	0.361242	0.632174	16	28	0	28	18-323-04175-GER2213046
NC001526.4	5742	5783	42	-	0.333333	0	0	0	0	0	0	1	0	18-323-04175-GER2213046
NC001526.4	5850	5906	57	-	0.350877	100.140351	2.260932	0.022578	2.95767	1	131	0	131	18-323-04175-GER2213046
NC001526.4	7178	7203	26	-	0.5	56.576923	1.277373	0	1.33208	0	59	0.038462	61	18-323-04175-GER2213046
NC001526.4	7247	7275	29	-	0.482759	14.310345	0.323094	0.112888	0.338664	5	15	0	15	18-323-04175-GER2213046
NC001526.4	7557	7586	30	-	0.4	3.866667	0.0873	0	0.090311	0	4	0.033333	4	18-323-04175-GER2213046
NC001526.4	7614	7651	38	-	0.289474	29.263158	0.660693	0.045155	0.699907	2	31	0	31	18-323-04175-GER2213046
NC001526.4	7667	7700	34	-	0.382353	222.5	5.023523	0	5.328321	0	236	0.029412	236	18-323-04175-GER2213046
NC001526.4	7738	7761	24	-	0.5	0.958333	0.021637	0	0.022578	0	1	0.041667	1	18-323-04175-GER2213046
NC001526.4	7778	7801	24	-	0.541667	1	0.022578	0.022578	0.022578	1	1	0	1	18-323-04175-GER2213046
NC001526.4	7838	7862	25	-	0.48	4.64	0.10476	0.022578	0.112888	1	5	0	5	18-323-04175-GER2213046
NC001357.1	161	190	30	-	0.433333	47.9	1.081469	0.045155	1.128882	2	50	0	50	18-323-04175-GER2213046
NC001357.1	469	498	30	-	0.366667	0	0	0	0	0	0	1	0	18-323-04175-GER2213046
NC001357.1	502	525	24	-	0.5	90.166667	2.03575	0.045155	2.19003	2	97	0	98	18-323-04175-GER2213046
NC001357.1	550	573	24	-	0.541667	23.083333	0.521167	0.090311	0.541863	4	24	0	24	18-323-04175-GER2213046
NC001357.1	585	611	27	-	0.407407	186.62963	4.213655	0.090311	4.402638	4	195	0	199	18-323-04175-GER2213046
NC001357.1	644	673	30	-	0.4	20.5	0.462841	0.135466	0.47413	6	21	0	21	18-323-04175-GER2213046
NC001357.1	725	748	24	-	0.5	1.916667	0.043274	0	0.045155	0	2	0.041667	2	18-323-04175-GER2213046
NC001357.1	814	839	26	-	0.5	247.884615	5.596647	0.94826	5.802451	42	257	0	257	18-323-04175-GER2213046
NC001357.1	885	904	20	-	0.65	10.45	0.235936	0	0.248354	0	11	0.05	11	18-323-04175-GER2213046
NC001357.1	1075	1100	26	-	0.461538	360.307692	8.134894	0	8.534344	0	378	0.038462	386	18-323-04175-GER2213046
NC001357.1	1134	1159	26	-	0.461538	1.846154	0.041682	0	0.045155	0	2	0.038462	2	18-323-04175-GER2213046
NC001357.1	6142	6163	22	-	0.590909	0	0	0	0	0	0	1	0	18-323-04175-GER2213046
NC001357.1	6586	6623	38	-	0.342105	19.631579	0.443235	0.022578	0.47413	1	21	0	21	18-323-04175-GER2213046
NC001357.1	6654	6675	22	-	0.590909	3.818182	0.086205	0	0.090311	0	4	0.045455	4	18-323-04175-GER2213046
NC001357.1	7440	7464	25	-	0.48	0.76	0.017159	0	0.022578	0	1	0.24	1	18-323-04175-GER2213046
NC001357.1	7499	7525	27	-	0.481481	4.703704	0.106198	0.022578	0.112888	1	5	0	5	18-323-04175-GER2213046
J04353.1	6530	6563	34	-	0.382353	21.205882	0.220054	0	0.228294	0	22	0.029412	22	20-211-03939-GER2107109
J04353.1	6929	6952	24	-	0.5	3	0.031131	0.031131	0.031131	3	3	0	3	20-211-03939-GER2107109
M12732.1	6570	6602	33	-	0.393939	15.515152	0.161001	0	0.166032	0	16	0.030303	16	20-211-03939-GER2107109
M12732.1	6965	6991	27	-	0.444444	11.851852	0.122987	0.020754	0.134901	2	13	0	13	20-211-03939-GER2107109
X74477.1	6567	6603	37	-	0.324324	0.972973	0.010097	0	0.010377	0	1	0.027027	1	20-211-03939-GER2107109
X74477.1	6969	6996	28	-	0.392857	0.785714	0.008153	0	0.010377	0	1	0.214286	1	20-211-03939-GER2107109
NC001526.4	252	286	35	-	0.371429	21.885714	0.227108	0	0.238671	0	23	0.028571	23	20-211-03939-GER2107109
NC001526.4	2525	2544	20	-	0.6	21.6	0.224143	0.020754	0.238671	2	23	0	23	20-211-03939-GER2107109
NC001526.4	2707	2733	27	-	0.481481	9.740741	0.10108	0.051885	0.10377	5	10	0	10	20-211-03939-GER2107109
NC001526.4	3006	3027	22	-	0.5	0	0	0	0	0	0	1	0	20-211-03939-GER2107109
NC001526.4	3054	3079	26	-	0.5	49.884615	0.517653	0.259425	0.529227	25	51	0	51	20-211-03939-GER2107109
NC001526.4	5742	5783	42	-	0.333333	2.952381	0.030637	0	0.041508	0	4	0.261905	4	20-211-03939-GER2107109
NC001526.4	5850	5906	57	-	0.350877	136.157895	1.412912	0.020754	1.930124	2	186	0	186	20-211-03939-GER2107109
NC001526.4	7178	7203	26	-	0.5	1894.384615	19.658045	0.010377	20.484215	1	1974	0	2001	20-211-03939-GER2107109
NC001526.4	7247	7275	29	-	0.482759	18.517241	0.192154	0.072639	0.20754	7	20	0	20	20-211-03939-GER2107109
NC001526.4	7557	7586	30	-	0.4	7.166667	0.074369	0.020754	0.083016	2	8	0	8	20-211-03939-GER2107109
NC001526.4	7614	7651	38	-	0.289474	35.210526	0.36538	0.062262	0.394326	6	38	0	38	20-211-03939-GER2107109
NC001526.4	7667	7700	34	-	0.382353	282.176471	2.928148	0	3.113103	0	300	0.029412	300	20-211-03939-GER2107109
NC001526.4	7738	7761	24	-	0.5	0.208333	0.002162	0	0.010377	0	1	0.791667	1	20-211-03939-GER2107109
NC001526.4	7778	7801	24	-	0.541667	4.833333	0.050156	0.010377	0.051885	1	5	0	5	20-211-03939-GER2107109
NC001526.4	7838	7862	25	-	0.48	11.68	0.121203	0.041508	0.124524	4	12	0	12	20-211-03939-GER2107109
NC001357.1	161	190	30	-	0.433333	48.333333	0.501555	0.041508	0.539604	4	52	0	52	20-211-03939-GER2107109
NC001357.1	469	498	30	-	0.366667	0	0	0	0	0	0	1	0	20-211-03939-GER2107109
NC001357.1	502	525	24	-	0.5	128.208333	1.330419	0	1.463158	0	141	0.041667	144	20-211-03939-GER2107109
NC001357.1	550	573	24	-	0.541667	18.041667	0.187219	0.041508	0.197163	4	19	0	19	20-211-03939-GER2107109
NC001357.1	585	611	27	-	0.407407	225.925926	2.344435	0.020754	2.459351	2	237	0	240	20-211-03939-GER2107109
NC001357.1	644	673	30	-	0.4	18.3	0.189899	0.041508	0.197163	4	19	0	19	20-211-03939-GER2107109
NC001357.1	725	748	24	-	0.5	3.833333	0.039779	0	0.041508	0	4	0.041667	4	20-211-03939-GER2107109
NC001357.1	814	839	26	-	0.5	207.153846	2.149637	0.342441	2.262188	33	218	0	218	20-211-03939-GER2107109
NC001357.1	885	904	20	-	0.65	14.25	0.147872	0	0.155655	0	15	0.05	15	20-211-03939-GER2107109
NC001357.1	1075	1100	26	-	0.461538	364.961538	3.787209	0.031131	3.995148	3	385	0	391	20-211-03939-GER2107109
NC001357.1	1134	1159	26	-	0.461538	7.538462	0.078227	0	0.083016	0	8	0.038462	8	20-211-03939-GER2107109
NC001357.1	6142	6163	22	-	0.590909	0.954545	0.009905	0	0.010377	0	1	0.045455	1	20-211-03939-GER2107109
NC001357.1	6586	6623	38	-	0.342105	36.578947	0.37958	0.031131	0.404703	3	39	0	39	20-211-03939-GER2107109
NC001357.1	6654	6675	22	-	0.590909	0	0	0	0	0	0	1	0	20-211-03939-GER2107109
NC001357.1	7440	7464	25	-	0.48	2.84	0.029471	0	0.031131	0	3	0.04	3	20-211-03939-GER2107109
NC001357.1	7499	7525	27	-	0.481481	8.222222	0.085322	0.041508	0.093393	4	9	0	9	20-211-03939-GER2107109
J04353.1	6530	6563	34	-	0.382353	20.264706	0.32775	0	0.339642	0	21	0.029412	21	19-211-01298-GER2106850
J04353.1	6929	6952	24	-	0.5	3.791667	0.061324	0.016173	0.064694	1	4	0	4	19-211-01298-GER2106850
M12732.1	6570	6602	33	-	0.393939	4.848485	0.078417	0	0.080867	0	5	0.030303	5	19-211-01298-GER2106850
M12732.1	6965	6991	27	-	0.444444	6.037037	0.09764	0.016173	0.113214	1	7	0	8	19-211-01298-GER2106850
X74477.1	6567	6603	37	-	0.324324	0.945946	0.015299	0	0.016173	0	1	0.054054	1	19-211-01298-GER2106850
X74477.1	6969	6996	28	-	0.392857	0	0	0	0	0	0	1	0	19-211-01298-GER2106850
NC001526.4	252	286	35	-	0.371429	30.285714	0.489824	0	0.51755	0	32	0.028571	32	19-211-01298-GER2106850
NC001526.4	2525	2544	20	-	0.6	36.65	0.592757	0.016173	0.630765	1	39	0	40	19-211-01298-GER2106850
NC001526.4	2707	2733	27	-	0.481481	28.777778	0.465436	0.371989	0.485203	23	30	0	30	19-211-01298-GER2106850
NC001526.4	3006	3027	22	-	0.5	55.136364	0.891745	0.371989	0.954234	23	59	0	61	19-211-01298-GER2106850
NC001526.4	3054	3079	26	-	0.5	102.423077	1.656535	1.374743	1.779079	85	110	0	110	19-211-01298-GER2106850
NC001526.4	5742	5783	42	-	0.333333	40.547619	0.655795	0	0.760152	0	47	0.02381	49	19-211-01298-GER2106850
NC001526.4	5850	5906	57	-	0.350877	170.403509	2.756013	0.339642	3.865455	21	239	0	243	19-211-01298-GER2106850
NC001526.4	7178	7203	26	-	0.5	215.461538	3.484756	0.646938	3.671373	40	227	0	235	19-211-01298-GER2106850
NC001526.4	7247	7275	29	-	0.482759	52.482759	0.848827	0.679285	0.921887	42	57	0	66	19-211-01298-GER2106850
NC001526.4	7557	7586	30	-	0.4	47.266667	0.764465	0.161734	0.921887	10	57	0	66	19-211-01298-GER2106850
NC001526.4	7614	7651	38	-	0.289474	75.342105	1.218542	1.018927	1.277703	63	79	0	101	19-211-01298-GER2106850
NC001526.4	7667	7700	34	-	0.382353	389.735294	6.303364	0.452857	6.598768	28	408	0	413	19-211-01298-GER2106850
NC001526.4	7738	7761	24	-	0.5	74.583333	1.20627	0.841019	1.342396	52	83	0	85	19-211-01298-GER2106850
NC001526.4	7778	7801	24	-	0.541667	70.125	1.134163	1.002754	1.213009	62	75	0	77	19-211-01298-GER2106850
NC001526.4	7838	7862	25	-	0.48	43.16	0.69804600000000006	0.646938	0.711632	40	44	0	44	19-211-01298-GER2106850
NC001357.1	161	190	30	-	0.433333	32.066667	0.518629	0	0.549897	0	34	0.033333	34	19-211-01298-GER2106850
NC001357.1	469	498	30	-	0.366667	0.966667	0.015634	0	0.016173	0	1	0.033333	1	19-211-01298-GER2106850
NC001357.1	502	525	24	-	0.5	73.458333	1.188075	0	1.326223	0	82	0.041667	88	19-211-01298-GER2106850
NC001357.1	550	573	24	-	0.541667	17.208333	0.278318	0.016173	0.291122	1	18	0	18	19-211-01298-GER2106850
NC001357.1	585	611	27	-	0.407407	118.148148	1.910863	0	2.005508	0	124	0.037037	126	19-211-01298-GER2106850
NC001357.1	644	673	30	-	0.4	13.6	0.219959	0.097041	0.226428	6	14	0	14	19-211-01298-GER2106850
NC001357.1	725	748	24	-	0.5	11.416667	0.184647	0	0.194081	0	12	0.041667	12	19-211-01298-GER2106850
NC001357.1	814	839	26	-	0.5	104.730769	1.693858	0.210255	1.779079	13	110	0	110	19-211-01298-GER2106850
NC001357.1	885	904	20	-	0.65	10.45	0.169013	0	0.177908	0	11	0.05	11	19-211-01298-GER2106850
NC001357.1	1075	1100	26	-	0.461538	219.961538	3.557537	0.064694	3.736067	4	231	0	236	19-211-01298-GER2106850
NC001357.1	1134	1159	26	-	0.461538	2.923077	0.047276	0.032347	0.04852	2	3	0	3	19-211-01298-GER2106850
NC001357.1	6142	6163	22	-	0.590909	0.954545	0.015438	0	0.016173	0	1	0.045455	1	19-211-01298-GER2106850
NC001357.1	6586	6623	38	-	0.342105	41.921053	0.678008	0.097041	0.727805	6	45	0	45	19-211-01298-GER2106850
NC001357.1	6654	6675	22	-	0.590909	3.818182	0.061753	0	0.064694	0	4	0.045455	4	19-211-01298-GER2106850
NC001357.1	7440	7464	25	-	0.48	0	0	0	0	0	0	1	0	19-211-01298-GER2106850
NC001357.1	7499	7525	27	-	0.481481	1.962963	0.031748	0.016173	0.032347	1	2	0	2	19-211-01298-GER2106850
J04353.1	6530	6563	34	-	0.382353	31.794118	0.345999	0	0.359122	0	33	0.029412	33	20-210-02166-GER2110235
J04353.1	6929	6952	24	-	0.5	3.875	0.04217	0.032647	0.04353	3	4	0	5	20-210-02166-GER2110235
M12732.1	6570	6602	33	-	0.393939	24.151515	0.262828	0	0.272062	0	25	0.030303	25	20-210-02166-GER2110235
M12732.1	6965	6991	27	-	0.444444	15.407407	0.167671	0.021765	0.185002	2	17	0	17	20-210-02166-GER2110235
X74477.1	6567	6603	37	-	0.324324	1.945946	0.021177	0	0.021765	0	2	0.027027	2	20-210-02166-GER2110235
X74477.1	6969	6996	28	-	0.392857	1.785714	0.019433	0.010882	0.021765	1	2	0	2	20-210-02166-GER2110235
